DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
2021/10/01,1,2018,TESLA,ANNAPOLIS COUNTY,
2021/10/01,1,2018,TESLA,GUYSBOROUGH COUNTY,
2021/10/01,1,2018,TOYOTA,HALIFAX COUNTY,
2021/10/01,1,2019,AUDI,LUNENBURG COUNTY,
2021/10/01,7,2019,AUDI,HALIFAX COUNTY,
2021/10/01,14,2019,CHEVROLET,HALIFAX COUNTY,
2021/10/01,2,2019,CHEVROLET,ANNAPOLIS COUNTY,
2021/10/01,4,2019,CHEVROLET,LUNENBURG COUNTY,
2021/10/01,1,2019,CHEVROLET,PICTOU COUNTY,
2021/10/01,1,2019,CHEVROLET,COLCHESTER COUNTY,
2021/10/01,2,2019,CHEVROLET,ANTIGONISH,
2021/10/01,3,2019,CHEVROLET,KINGS COUNTY,
2021/10/01,1,2019,CHEVROLET,NEW GLASGOW,
2021/10/01,1,2019,CHEVROLET,INVERNESS COUNTY,
2021/10/01,1,2019,HISUN,DIGBY COUNTY,
2021/10/01,12,2019,HYUNDAI,HALIFAX COUNTY,
2021/10/01,1,2019,HYUNDAI,CAPE BRETON COUNTY,
2021/10/01,1,2019,HYUNDAI,ANTIGONISH COUNTY,
2021/10/01,3,2019,HYUNDAI,LUNENBURG COUNTY,
2021/10/01,1,2019,HYUNDAI,YARMOUTH COUNTY,
2021/10/01,1,2019,HYUNDAI,KINGS COUNTY,
2021/10/01,1,2019,HYUNDAI,ANNAPOLIS COUNTY,
2021/10/01,2,2019,JAGUAR,HALIFAX COUNTY,
2021/10/01,1,2019,JAGUAR,KINGS COUNTY,
2021/10/01,1,2019,KIA,COLCHESTER COUNTY,
2021/10/01,1,2019,KIA,KENTVILLE,
2021/10/01,1,2019,MERCEDES BENZ,AMHERST,
2021/10/01,9,2019,NISSAN,HALIFAX COUNTY,
2021/10/01,1,2019,NISSAN,HANTS COUNTY,
2021/10/01,1,2019,NISSAN,KINGS COUNTY,
2021/10/01,40,2019,TESLA,HALIFAX COUNTY,
2021/10/01,1,2019,TESLA,KINGS COUNTY,
2021/10/01,1,2019,TESLA,WINDSOR,
2021/10/01,3,2019,TESLA,CAPE BRETON COUNTY,
2021/10/01,1,2019,TESLA,ANTIGONISH COUNTY,
2021/10/01,1,2019,TESLA,CUMBERLAND COUNTY,
2021/10/01,4,2019,TESLA,LUNENBURG COUNTY,
2021/10/01,1,2019,TESLA,HANTS COUNTY,
2021/10/01,1,2019,TESLA,ANTIGONISH,
2021/10/01,1,2019,TESLA,SHELBURNE,
2021/10/01,1,2019,TESLA,ANNAPOLIS COUNTY,
2021/10/01,1,2019,TOYOTA,ANTIGONISH,
2021/10/01,1,2019,TOYOTA,LUNENBURG COUNTY,
2021/10/01,1,2019,TOYOTA,DIGBY,
2021/10/01,1,2019,VOLKSWAGEN,HANTS COUNTY,
2021/10/01,2,2020,AUDI,HALIFAX COUNTY,
2021/10/01,27,2020,CHEVROLET,HALIFAX COUNTY,
2021/10/01,1,2020,CHEVROLET,HANTS COUNTY,
2021/10/01,1,2020,CHEVROLET,ANNAPOLIS COUNTY,
2021/10/01,5,2020,CHEVROLET,KINGS COUNTY,
2021/10/01,1,2020,CHEVROLET,INVERNESS COUNTY,
2021/10/01,1,2020,CHEVROLET,KENTVILLE,
2021/10/01,1,2020,CHEVROLET,COLCHESTER COUNTY,
2021/10/01,1,2020,FORD,YARMOUTH COUNTY,
2021/10/01,1,2020,FORD,CUMBERLAND COUNTY,
2021/10/01,1,2020,HARLEY DAVIDSON,ANTIGONISH COUNTY,
2021/10/01,2,2020,HYUNDAI,COLCHESTER COUNTY,
2021/10/01,4,2020,HYUNDAI,HANTS COUNTY,
2021/10/01,18,2020,HYUNDAI,HALIFAX COUNTY,
2021/10/01,2,2020,HYUNDAI,CAPE BRETON COUNTY,
2021/10/01,1,2020,HYUNDAI,PICTOU COUNTY,
2021/10/01,1,2020,HYUNDAI,KINGS COUNTY,
2021/10/01,1,2020,JAGUAR,HALIFAX COUNTY,
2021/10/01,1,2020,KIA,CAPE BRETON COUNTY,
2021/10/01,4,2020,KIA,HALIFAX COUNTY,
2021/10/01,2,2020,KIA,KINGS COUNTY,
2021/10/01,1,2020,KIA,ANNAPOLIS COUNTY,
2021/10/01,1,2020,MINI,HALIFAX COUNTY,
2021/10/01,8,2020,NISSAN,HALIFAX COUNTY,
2021/10/01,1,2020,NISSAN,KINGS COUNTY,
2021/10/01,3,2020,PORSCHE,HALIFAX COUNTY,
2021/10/01,1,2020,SUPER SOCO,HALIFAX COUNTY,
2021/10/01,70,2020,TESLA,HALIFAX COUNTY,
2021/10/01,9,2020,TESLA,KINGS COUNTY,
2021/10/01,1,2020,TESLA,TRURO,
2021/10/01,2,2020,TESLA,COLCHESTER COUNTY,
2021/10/01,1,2020,TESLA,PICTOU COUNTY,
2021/10/01,1,2020,TESLA,NEW GLASGOW,
2021/10/01,1,2020,TESLA,YARMOUTH COUNTY,
2021/10/01,3,2020,TESLA,LUNENBURG COUNTY,
2021/10/01,1,2020,TESLA,ANTIGONISH,
2021/10/01,1,2020,TESLA,HANTS COUNTY,
2021/10/01,2,2020,TESLA,CAPE BRETON COUNTY,
2021/10/01,1,2020,TESLA,INVERNESS COUNTY,
2021/10/01,3,2020,TOYOTA,HALIFAX COUNTY,
2021/10/01,2,2020,VOLKSWAGEN,HALIFAX COUNTY,
2021/10/01,1,2020,VOLKSWAGEN,LUNENBURG COUNTY,
2021/10/01,1,2020,VOLKSWAGEN,ANNAPOLIS COUNTY,
2021/10/01,1,2021,AUDI,ANTIGONISH,
2021/10/01,6,2021,AUDI,HALIFAX COUNTY,
2021/10/01,2,2021,FORD,ANTIGONISH COUNTY,
2021/10/01,9,2021,FORD,HALIFAX COUNTY,
2021/10/01,1,2021,FORD,COLCHESTER COUNTY,
2021/10/01,1,2021,HYUNDAI,DIGBY COUNTY,
2021/10/01,6,2021,HYUNDAI,COLCHESTER COUNTY,
2021/10/01,42,2021,HYUNDAI,HALIFAX COUNTY,
2021/10/01,4,2021,HYUNDAI,HANTS COUNTY,
2021/10/01,6,2021,HYUNDAI,ANNAPOLIS COUNTY,
2021/10/01,9,2021,HYUNDAI,KINGS COUNTY,
2021/10/01,6,2021,HYUNDAI,LUNENBURG COUNTY,
2021/10/01,2,2021,HYUNDAI,PICTOU COUNTY,
2021/10/01,2,2021,HYUNDAI,ANTIGONISH COUNTY,
2021/10/01,4,2021,HYUNDAI,CAPE BRETON COUNTY,
2021/10/01,2,2021,HYUNDAI,YARMOUTH,
2021/10/01,1,2021,HYUNDAI,AMHERST,
2021/10/01,2,2021,HYUNDAI,QUEENS COUNTY,
2021/10/01,1,2021,HYUNDAI,CUMBERLAND COUNTY,
2021/10/01,1,2021,HYUNDAI,SYDNEY,
2021/10/01,1,2021,HYUNDAI,RICHMOND COUNTY,
2021/10/01,1,2021,HYUNDAI,VICTORIA COUNTY,
2021/10/01,1,2021,KIA,GUYSBOROUGH COUNTY,
2021/10/01,2,2021,KIA,HALIFAX COUNTY,
2021/10/01,1,2021,KIA,PICTOU COUNTY,
2021/10/01,2,2021,KIA,KINGS COUNTY,
2021/10/01,1,2021,KIA,ANNAPOLIS COUNTY,
2021/10/01,1,2021,MINI,PICTOU COUNTY,
2021/10/01,1,2021,MINI,HALIFAX COUNTY,
2021/10/01,1,2021,MUSTANG,PICTOU,
2021/10/01,1,2021,NISSAN,HALIFAX COUNTY,
2021/10/01,1,2021,PORSCHE,HALIFAX COUNTY,
2021/10/01,3,2021,TESLA,PICTOU COUNTY,
2021/10/01,82,2021,TESLA,HALIFAX COUNTY,
2021/10/01,9,2021,TESLA,KINGS COUNTY,
2021/10/01,1,2021,TESLA,CAPE BRETON COUNTY,
2021/10/01,2,2021,TESLA,YARMOUTH,
2021/10/01,2,2021,TESLA,ANTIGONISH COUNTY,
2021/10/01,2,2021,TESLA,COLCHESTER COUNTY,
2021/10/01,1,2021,TESLA,INVERNESS COUNTY,
2021/10/01,5,2021,TESLA,HANTS COUNTY,
2021/10/01,1,2021,TESLA,ANNAPOLIS COUNTY,
2021/10/01,2,2021,TESLA,WOLFVILLE,
2021/10/01,11,2021,TESLA,LUNENBURG COUNTY,
2021/10/01,1,2021,TESLA,VICTORIA COUNTY,
2021/10/01,7,2021,TOYOTA,HALIFAX COUNTY,
2021/10/01,1,2021,TOYOTA,KINGS COUNTY,
2021/10/01,1,2021,VOLVO,HALIFAX COUNTY,
2021/10/01,2,2021,ZERO,KINGS COUNTY,
2021/10/01,1,2022,AUDI,HALIFAX COUNTY,
2021/10/01,6,2022,CHEVROLET,HALIFAX COUNTY,
2021/10/01,3,2022,CHEVROLET,KINGS COUNTY,
2021/10/01,1,2022,CHEVROLET,QUEENS COUNTY,
2021/10/01,1,2022,CHEVROLET,COLCHESTER COUNTY,
2021/10/01,14,2022,HYUNDAI,HALIFAX COUNTY,
2021/10/01,1,2022,HYUNDAI,KENTVILLE,
2021/10/01,1,2022,HYUNDAI,CAPE BRETON COUNTY,
2021/10/01,1,2022,HYUNDAI,PICTOU COUNTY,
2021/10/01,1,2022,HYUNDAI,COLCHESTER COUNTY,
2021/10/01,1,2022,KIA,KINGS COUNTY,
2021/10/01,2,2022,MINI,HALIFAX COUNTY,
2021/10/01,1,2022,MINI,HANTS COUNTY,
2021/10/01,1,2014,MITSUBISHI,HALIFAX COUNTY,
2021/10/01,2,2016,MITSUBISHI,HALIFAX COUNTY,
2021/10/01,2,2012,MITSUBISHI,HALIFAX COUNTY,
2022/01/01,1,2006,TOYOTA,HALIFAX COUNTY,
2022/01/01,1,2008,TOYOTA,HALIFAX COUNTY,
2022/01/01,1,2008,KIA,QUEENS COUNTY,
2022/01/01,1,2009,NISSAN,VICTORIA COUNTY,
2022/01/01,1,2009,TOYOTA,HALIFAX COUNTY,
2022/01/01,1,2011,HYUNDAI,HALIFAX COUNTY,
2022/01/01,1,2011,LEXUS,HALIFAX COUNTY,
2022/01/01,1,2012,HONDA,DIGBY COUNTY,
2022/01/01,1,2012,HYUNDAI,HALIFAX COUNTY,
2022/01/01,3,2012,MITSUBISHI,HALIFAX COUNTY,
2022/01/01,1,2012,NISSAN,KINGS COUNTY,
2022/01/01,4,2012,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2012,NISSAN,CAPE BRETON COUNTY,
2022/01/01,1,2012,TOYOTA,HALIFAX COUNTY,
2022/01/01,1,2013,NISSAN,COLCHESTER COUNTY,
2022/01/01,1,2013,NISSAN,ANNAPOLIS COUNTY,
2022/01/01,3,2013,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2013,NISSAN,ANNAPOLIS COUNTY,
2022/01/01,1,2013,SMART,PICTOU COUNTY,
2022/01/01,3,2013,TESLA,HALIFAX COUNTY,
2022/01/01,2,2013,ZERO,HALIFAX COUNTY,
2022/01/01,1,2014,BMW,HALIFAX COUNTY,
2022/01/01,2,2014,CHEVROLET,HALIFAX COUNTY,
2022/01/01,1,2014,FORD,HALIFAX COUNTY,
2022/01/01,1,2014,HYUNDAI,CAPE BRETON COUNTY,
2022/01/01,1,2014,MITSUBISHI,HALIFAX COUNTY,
2022/01/01,1,2014,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2014,NISSAN,KINGS COUNTY,
2022/01/01,1,2014,NISSAN,LUNENBURG COUNTY,
2022/01/01,1,2014,SMART,HALIFAX COUNTY,
2022/01/01,1,2014,TESLA,HALIFAX COUNTY,
2022/01/01,1,2014,TESLA,COLCHESTER COUNTY,
2022/01/01,1,2015,BMW,HALIFAX COUNTY,
2022/01/01,1,2015,KIA,HALIFAX COUNTY,
2022/01/01,10,2015,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2015,NISSAN,HANTS COUNTY,
2022/01/01,1,2015,SMART,HALIFAX COUNTY,
2022/01/01,4,2015,TESLA,HALIFAX COUNTY,
2022/01/01,1,2015,TESLA,OUT OF PROVINCE,
2022/01/01,1,2015,TESLA,PICTOU COUNTY,
2022/01/01,1,2015,TESLA,ANNAPOLIS COUNTY,
2022/01/01,1,2015,TESLA,HANTS COUNTY,
2022/01/01,1,2016,BMW,HALIFAX COUNTY,
2022/01/01,1,2016,CHEVROLET,KINGS COUNTY,
2022/01/01,1,2016,CHEVROLET,HALIFAX COUNTY,
2022/01/01,2,2016,KIA,HALIFAX COUNTY,
2022/01/01,1,2016,KIA,HANTS COUNTY,
2022/01/01,1,2016,KIA,CAPE BRETON COUNTY,
2022/01/01,1,2016,KIA,AMHERST,
2022/01/01,2,2016,MITSUBISHI,HALIFAX COUNTY,
2022/01/01,1,2016,NISSAN,COLCHESTER COUNTY,
2022/01/01,1,2016,NISSAN,ANNAPOLIS COUNTY,
2022/01/01,8,2016,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2016,NISSAN,KINGS COUNTY,
2022/01/01,1,2016,NISSAN,WINDSOR,
2022/01/01,1,2016,NISSAN,NEW GLASGOW,
2022/01/01,1,2016,SMART,HALIFAX COUNTY,
2022/01/01,1,2016,TESLA,LUNENBURG COUNTY,
2022/01/01,10,2016,TESLA,HALIFAX COUNTY,
2022/01/01,2,2016,TESLA,LUNENBURG COUNTY,
2022/01/01,7,2017,CHEVROLET,HALIFAX COUNTY,
2022/01/01,1,2017,CHEVROLET,LUNENBURG COUNTY,
2022/01/01,3,2017,CHEVROLET,COLCHESTER COUNTY,
2022/01/01,1,2017,CHEVROLET,KINGS COUNTY,
2022/01/01,1,2017,CHEVROLET,ANTIGONISH COUNTY,
2022/01/01,2,2017,FORD,HALIFAX COUNTY,
2022/01/01,2,2017,HYUNDAI,HALIFAX COUNTY,
2022/01/01,3,2017,KIA,HALIFAX COUNTY,
2022/01/01,1,2017,NISSAN,HANTS COUNTY,
2022/01/01,4,2017,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2017,NISSAN,LUNENBURG COUNTY,
2022/01/01,2,2017,SMART,HALIFAX COUNTY,
2022/01/01,8,2017,TESLA,HALIFAX COUNTY,
2022/01/01,1,2017,TESLA,COLCHESTER COUNTY,
2022/01/01,1,2017,TESLA,INVERNESS COUNTY,
2022/01/01,1,2017,TOYOTA,KINGS COUNTY,
2022/01/01,1,2017,VOLKSWAGEN,PICTOU COUNTY,
2022/01/01,1,2017,VOLKSWAGEN,ANNAPOLIS COUNTY,
2022/01/01,1,2018,AUDI,QUEENS COUNTY,
2022/01/01,1,2018,BMW,HALIFAX COUNTY,
2022/01/01,1,2018,CHEVROLET,LUNENBURG COUNTY,
2022/01/01,6,2018,CHEVROLET,HALIFAX COUNTY,
2022/01/01,1,2018,CHEVROLET,COLCHESTER COUNTY,
2022/01/01,1,2018,CHEVROLET,BRIDGEWATER,
2022/01/01,2,2018,FORD,HALIFAX COUNTY,
2022/01/01,1,2018,FORD,COLCHESTER COUNTY,
2022/01/01,1,2018,HYUNDAI,HANTS COUNTY,
2022/01/01,1,2018,HYUNDAI,HALIFAX COUNTY,
2022/01/01,1,2018,KIA,HALIFAX COUNTY,
2022/01/01,1,2018,KIA,KINGS COUNTY,
2022/01/01,11,2018,NISSAN,HALIFAX COUNTY,
2022/01/01,2,2018,NISSAN,KINGS COUNTY,
2022/01/01,1,2018,NISSAN,ANNAPOLIS COUNTY,
2022/01/01,1,2018,SMART,HALIFAX COUNTY,
2022/01/01,2,2018,TESLA,LIVERPOOL,
2022/01/01,38,2018,TESLA,HALIFAX COUNTY,
2022/01/01,3,2018,TESLA,PICTOU COUNTY,
2022/01/01,3,2018,TESLA,COLCHESTER COUNTY,
2022/01/01,1,2018,TESLA,VICTORIA COUNTY,
2022/01/01,3,2018,TESLA,LUNENBURG COUNTY,
2022/01/01,1,2018,TESLA,CUMBERLAND COUNTY,
2022/01/01,1,2018,TESLA,ANNAPOLIS COUNTY,
2022/01/01,1,2018,TESLA,GUYSBOROUGH COUNTY,
2022/01/01,1,2018,TOYOTA,HALIFAX COUNTY,
2022/01/01,1,2018,TOYOTA,ANNAPOLIS COUNTY,
2022/01/01,1,2018,VOLKSWAGEN,KINGS COUNTY,
2022/01/01,6,2019,AUDI,HALIFAX COUNTY,
2022/01/01,1,2019,AUDI,OUT OF PROVINCE,
2022/01/01,1,2019,AUDI,LUNENBURG COUNTY,
2022/01/01,16,2019,CHEVROLET,HALIFAX COUNTY,
2022/01/01,2,2019,CHEVROLET,WOLFVILLE,
2022/01/01,4,2019,CHEVROLET,LUNENBURG COUNTY,
2022/01/01,3,2019,CHEVROLET,KINGS COUNTY,
2022/01/01,1,2019,CHEVROLET,COLCHESTER COUNTY,
2022/01/01,1,2019,CHEVROLET,PICTOU COUNTY,
2022/01/01,1,2019,CHEVROLET,OUT OF PROVINCE,
2022/01/01,3,2019,CHEVROLET,ANTIGONISH COUNTY,
2022/01/01,1,2019,CHEVROLET,VICTORIA COUNTY,
2022/01/01,1,2019,CHEVROLET,NEW GLASGOW,
2022/01/01,1,2019,CHEVROLET,INVERNESS COUNTY,
2022/01/01,1,2019,HYUNDAI,ANTIGONISH COUNTY,
2022/01/01,19,2019,HYUNDAI,HALIFAX COUNTY,
2022/01/01,1,2019,HYUNDAI,CAPE BRETON COUNTY,
2022/01/01,3,2019,HYUNDAI,LUNENBURG COUNTY,
2022/01/01,2,2019,HYUNDAI,COLCHESTER COUNTY,
2022/01/01,1,2019,HYUNDAI,VICTORIA COUNTY,
2022/01/01,1,2019,HYUNDAI,YARMOUTH COUNTY,
2022/01/01,1,2019,HYUNDAI,KINGS COUNTY,
2022/01/01,1,2019,HYUNDAI,ANNAPOLIS COUNTY,
2022/01/01,1,2019,JAGUAR,HALIFAX COUNTY,
2022/01/01,1,2019,JAGUAR,KINGS COUNTY,
2022/01/01,1,2019,JEEP,ANTIGONISH COUNTY,
2022/01/01,1,2019,KIA,COLCHESTER COUNTY,
